[15:29:31] [INFO ] Mostro immagine: listening_icon
[15:29:34] [INFO ] Riconosciuto: Iniziale.
[15:29:36] [INFO ] Publishing emotion: QT/neutral_state_blinking
[15:29:37] [INFO ] Playing gesture: QT/Show-face
[15:29:51] [INFO ] Mostro immagine: listening_icon
[15:29:57] [INFO ] Riconosciuto: Mi son distratto, occhio, ti ripeti, scusa.
[15:29:59] [INFO ] Publishing emotion: QT/showing_smile
[15:30:00] [INFO ] Playing gesture: QT/show_QT
[15:30:15] [INFO ] Mostro immagine: listening_icon
[15:30:20] [INFO ] Riconosciuto: Stavo aiutando mio fratello ad arrivare qua.
[15:30:22] [INFO ] Publishing emotion: QT/showing_smile
[15:30:23] [INFO ] Playing gesture: QT/one-arm-up
[15:30:41] [INFO ] KB: Removed predicate 'emotion_checked' []
[15:30:41] [INFO ] KB: Set function 'robot_e' = 3.44
[15:30:41] [INFO ] KB: Set function 'robot_p' = 2.93
[15:30:41] [INFO ] KB: Set function 'robot_a' = 0.92
[15:30:41] [INFO ] KB: Set function 'robot_e_sq' = 11.8336
[15:30:41] [INFO ] KB: Set function 'robot_p_sq' = 8.5849
[15:30:41] [INFO ] KB: Set function 'robot_a_sq' = 0.8464
[15:30:41] [INFO ] KB: Set function 'human_e' = 3.44
[15:30:41] [INFO ] KB: Set function 'human_p' = 2.93
[15:30:41] [INFO ] KB: Set function 'human_a' = 0.92
[15:30:41] [INFO ] KB: Set function 'human_e_sq' = 11.8336
[15:30:41] [INFO ] KB: Set function 'human_p_sq' = 8.5849
[15:30:41] [INFO ] KB: Set function 'human_a_sq' = 0.8464
