[14:47:43] [INFO ] Setup: Perché il libro di matematica era triste?
[14:47:43] [INFO ] Punchline: Perché aveva troppi problemi!
[14:47:56] [INFO ] Mostro immagine: listening_icon
[14:47:59] [INFO ] Riconosciuto: No.
[14:47:59] [INFO ] Guess check: 'SI'
[14:48:28] [INFO ] KB: Removed predicate 'emotion_checked' []
[14:48:28] [INFO ] KB: Set function 'robot_e' = 3.44
[14:48:28] [INFO ] KB: Set function 'robot_p' = 2.93
[14:48:28] [INFO ] KB: Set function 'robot_a' = 0.92
[14:48:28] [INFO ] KB: Set function 'robot_e_sq' = 11.8336
[14:48:28] [INFO ] KB: Set function 'robot_p_sq' = 8.5849
[14:48:28] [INFO ] KB: Set function 'robot_a_sq' = 0.8464
[14:48:28] [INFO ] KB: Set function 'human_e' = 3.44
[14:48:28] [INFO ] KB: Set function 'human_p' = 2.93
[14:48:28] [INFO ] KB: Set function 'human_a' = 0.92
[14:48:28] [INFO ] KB: Set function 'human_e_sq' = 11.8336
[14:48:28] [INFO ] KB: Set function 'human_p_sq' = 8.5849
[14:48:28] [INFO ] KB: Set function 'human_a_sq' = 0.8464
