[15:42:23] [INFO ] In ascolto (tentativo 1/2)...
[15:42:23] [INFO ] Mostro immagine: listening_icon
[15:42:27] [INFO ] Riconosciuto: Toccare la testa.
[15:42:40] [INFO ] In ascolto (tentativo 2/2)...
[15:42:40] [INFO ] Mostro immagine: listening_icon
[15:42:44] [INFO ] Riconosciuto: Non ho capito.
[15:42:57] [INFO ] In ascolto (tentativo 2/2)...
[15:42:57] [INFO ] Mostro immagine: listening_icon
[15:43:02] [INFO ] Riconosciuto: Ti stai toccando la testa?
[15:43:12] [INFO ] KB: Set function 'n_questions' = 2.0
[15:43:12] [INFO ] KB: Set function 'n_easy' = 2.0
[15:43:12] [INFO ] KB: Set function 'mime_uses' = 1.0
[15:43:12] [INFO ] KB: Set function 'wrong_answers' = 1.0
[15:43:12] [INFO ] KB: Added predicate 'answered_wrong'
[15:43:12] [INFO ] KB: Set function 'robot_e' = 3.44
[15:43:12] [INFO ] KB: Set function 'robot_p' = 2.93
[15:43:12] [INFO ] KB: Set function 'robot_a' = 0.92
[15:43:13] [INFO ] KB: Set function 'robot_e_sq' = 11.8336
[15:43:13] [INFO ] KB: Set function 'robot_p_sq' = 8.5849
[15:43:13] [INFO ] KB: Set function 'robot_a_sq' = 0.8464
[15:43:13] [INFO ] KB: Set function 'human_e' = 3.44
[15:43:13] [INFO ] KB: Set function 'human_p' = 2.93
[15:43:13] [INFO ] KB: Set function 'human_a' = 0.92
[15:43:13] [INFO ] KB: Set function 'human_e_sq' = 11.8336
[15:43:13] [INFO ] KB: Set function 'human_p_sq' = 8.5849
[15:43:13] [INFO ] KB: Set function 'human_a_sq' = 0.8464
