[15:41:24] [INFO ] Setup: Perché il libro di matematica era triste?
[15:41:24] [INFO ] Punchline: Perché aveva troppi problemi!
[15:41:38] [INFO ] Mostro immagine: listening_icon
[15:41:40] [INFO ] Riconosciuto: Ignora.
[15:41:41] [INFO ] Guess check: 'NO.'
[15:42:07] [INFO ] KB: Removed predicate 'emotion_checked' []
[15:42:07] [INFO ] KB: Set function 'robot_e' = 3.44
[15:42:07] [INFO ] KB: Set function 'robot_p' = 2.93
[15:42:07] [INFO ] KB: Set function 'robot_a' = 0.92
[15:42:07] [INFO ] KB: Set function 'robot_e_sq' = 11.8336
[15:42:07] [INFO ] KB: Set function 'robot_p_sq' = 8.5849
[15:42:08] [INFO ] KB: Set function 'robot_a_sq' = 0.8464
[15:42:08] [INFO ] KB: Set function 'human_e' = 3.44
[15:42:08] [INFO ] KB: Set function 'human_p' = 2.93
[15:42:08] [INFO ] KB: Set function 'human_a' = 0.92
[15:42:08] [INFO ] KB: Set function 'human_e_sq' = 11.8336
[15:42:08] [INFO ] KB: Set function 'human_p_sq' = 8.5849
[15:42:08] [INFO ] KB: Set function 'human_a_sq' = 0.8464
