[10:21:21] [INFO ] Setup: Perché il libro di matematica era triste?
[10:21:21] [INFO ] Punchline: Perché aveva troppi problemi!
[10:21:32] [INFO ] Mostro immagine: listening_icon
[10:21:36] [INFO ] Riconosciuto: No.
[10:21:37] [INFO ] Guess check: 'NO.'
[10:22:03] [INFO ] KB: Removed predicate 'emotion_checked' []
[10:22:03] [INFO ] KB: Set function 'robot_e' = 3.44
[10:22:03] [INFO ] KB: Set function 'robot_p' = 2.93
[10:22:03] [INFO ] KB: Set function 'robot_a' = 0.92
[10:22:03] [INFO ] KB: Set function 'robot_e_sq' = 11.8336
[10:22:03] [INFO ] KB: Set function 'robot_p_sq' = 8.5849
[10:22:03] [INFO ] KB: Set function 'robot_a_sq' = 0.8464
[10:22:03] [INFO ] KB: Set function 'human_e' = 3.44
[10:22:03] [INFO ] KB: Set function 'human_p' = 2.93
[10:22:03] [INFO ] KB: Set function 'human_a' = 0.92
[10:22:03] [INFO ] KB: Set function 'human_e_sq' = 11.8336
[10:22:03] [INFO ] KB: Set function 'human_p_sq' = 8.5849
[10:22:03] [INFO ] KB: Set function 'human_a_sq' = 0.8464
