[14:06:08] [INFO ] Setup: Perché il libro di matematica era triste?
[14:06:08] [INFO ] Punchline: Perché aveva troppi problemi!
[14:06:19] [INFO ] Mostro immagine: listening_icon
[14:06:28] [INFO ] Riconosciuto: Tanti problemi.
[14:06:29] [INFO ] Guess check: 'NO.'
[14:06:55] [INFO ] KB: Removed predicate 'emotion_checked' []
[14:06:55] [INFO ] KB: Set function 'robot_e' = 3.44
[14:06:55] [INFO ] KB: Set function 'robot_p' = 2.93
[14:06:55] [INFO ] KB: Set function 'robot_a' = 0.92
[14:06:55] [INFO ] KB: Set function 'robot_e_sq' = 11.8336
[14:06:55] [INFO ] KB: Set function 'robot_p_sq' = 8.5849
[14:06:55] [INFO ] KB: Set function 'robot_a_sq' = 0.8464
[14:06:55] [INFO ] KB: Set function 'human_e' = 3.44
[14:06:55] [INFO ] KB: Set function 'human_p' = 2.93
[14:06:55] [INFO ] KB: Set function 'human_a' = 0.92
[14:06:55] [INFO ] KB: Set function 'human_e_sq' = 11.8336
[14:06:55] [INFO ] KB: Set function 'human_p_sq' = 8.5849
[14:06:55] [INFO ] KB: Set function 'human_a_sq' = 0.8464
