[12:02:50] [INFO ] Mostro immagine: africa_icon
[12:02:50] [INFO ] In ascolto (tentativo 1/2)...
[12:02:59] [INFO ] Riconosciuto: Sull'abbonamento, appunto, importante.
[12:03:10] [INFO ] Mostro immagine: africa_icon
[12:03:10] [INFO ] In ascolto (tentativo 2/2)...
[12:03:15] [INFO ] Riconosciuto: Sicurazione, devo comprare la mamma?
[12:03:24] [INFO ] KB: Set function 'n_questions' = 5.0
[12:03:24] [INFO ] KB: Set function 'n_hard' = 1.0
[12:03:24] [INFO ] KB: Set function 'image_uses' = 1.0
[12:03:24] [INFO ] KB: Set function 'wrong_answers' = 2.0
[12:03:24] [INFO ] KB: Added predicate 'answered_wrong'
[12:03:24] [INFO ] KB: Set function 'robot_e' = 3.44
[12:03:24] [INFO ] KB: Set function 'robot_p' = 2.93
[12:03:24] [INFO ] KB: Set function 'robot_a' = 0.92
[12:03:24] [INFO ] KB: Set function 'robot_e_sq' = 11.8336
[12:03:24] [INFO ] KB: Set function 'robot_p_sq' = 8.5849
[12:03:24] [INFO ] KB: Set function 'robot_a_sq' = 0.8464
[12:03:24] [INFO ] KB: Set function 'human_e' = 3.44
[12:03:24] [INFO ] KB: Set function 'human_p' = 2.93
[12:03:24] [INFO ] KB: Set function 'human_a' = 0.92
[12:03:24] [INFO ] KB: Set function 'human_e_sq' = 11.8336
[12:03:24] [INFO ] KB: Set function 'human_p_sq' = 8.5849
[12:03:24] [INFO ] KB: Set function 'human_a_sq' = 0.8464
