[10:18:30] [INFO ] In ascolto (tentativo 1/2)...
[10:18:30] [INFO ] Mostro immagine: listening_icon
[10:18:33] [INFO ] Riconosciuto: Non lo so, non ne ho idea.
[10:18:44] [INFO ] In ascolto (tentativo 2/2)...
[10:18:44] [INFO ] Mostro immagine: listening_icon
[10:18:48] [INFO ] Riconosciuto: No, non lo so proprio.
[10:18:56] [INFO ] KB: Set function 'n_questions' = 1.0
[10:18:56] [INFO ] KB: Set function 'n_easy' = 1.0
[10:18:56] [INFO ] KB: Set function 'mime_uses' = 1.0
[10:18:56] [INFO ] KB: Set function 'wrong_answers' = 1.0
[10:18:56] [INFO ] KB: Added predicate 'answered_wrong'
[10:18:56] [INFO ] KB: Set function 'robot_e' = 3.44
[10:18:57] [INFO ] KB: Set function 'robot_p' = 2.93
[10:18:57] [INFO ] KB: Set function 'robot_a' = 0.92
[10:18:57] [INFO ] KB: Set function 'robot_e_sq' = 11.8336
[10:18:57] [INFO ] KB: Set function 'robot_p_sq' = 8.5849
[10:18:57] [INFO ] KB: Set function 'robot_a_sq' = 0.8464
[10:18:57] [INFO ] KB: Set function 'human_e' = 3.44
[10:18:57] [INFO ] KB: Set function 'human_p' = 2.93
[10:18:57] [INFO ] KB: Set function 'human_a' = 0.92
[10:18:57] [INFO ] KB: Set function 'human_e_sq' = 11.8336
[10:18:57] [INFO ] KB: Set function 'human_p_sq' = 8.5849
[10:18:57] [INFO ] KB: Set function 'human_a_sq' = 0.8464
