[18:02:22] [INFO ] Setup: Perché il libro di matematica era triste?
[18:02:22] [INFO ] Punchline: Perché aveva troppi problemi!
[18:02:35] [INFO ] Mostro immagine: listening_icon
[18:02:38] [INFO ] Riconosciuto: Perché ha tanti problemi?
[18:02:39] [INFO ] Guess check: 'SI.'
[18:03:08] [INFO ] KB: Removed predicate 'emotion_checked' []
[18:03:08] [INFO ] KB: Set function 'robot_e' = 3.44
[18:03:08] [INFO ] KB: Set function 'robot_p' = 2.93
[18:03:08] [INFO ] KB: Set function 'robot_a' = 0.92
[18:03:08] [INFO ] KB: Set function 'robot_e_sq' = 11.8336
[18:03:08] [INFO ] KB: Set function 'robot_p_sq' = 8.5849
[18:03:08] [INFO ] KB: Set function 'robot_a_sq' = 0.8464
[18:03:08] [INFO ] KB: Set function 'human_e' = 3.44
[18:03:08] [INFO ] KB: Set function 'human_p' = 2.93
[18:03:08] [INFO ] KB: Set function 'human_a' = 0.92
[18:03:08] [INFO ] KB: Set function 'human_e_sq' = 11.8336
[18:03:08] [INFO ] KB: Set function 'human_p_sq' = 8.5849
[18:03:08] [INFO ] KB: Set function 'human_a_sq' = 0.8464
